Fecha;codLinea;codAseguradora;primaAcumulada;primaMensual
2011-02-01 00:00:00.000;10;3;900.289;900.289
2011-02-01 00:00:00.000;19;1;103.113.291;51.708.915
2011-02-01 00:00:00.000;19;4;152.36;78.608
2011-02-01 00:00:00.000;19;7;1.931.665;887.882
2011-02-01 00:00:00.000;19;11;92.706;71.914
2011-02-01 00:00:00.000;4;1;48.406.607;10.591.868
2011-02-01 00:00:00.000;4;4;1.021.536;519.918
2011-03-01 00:00:00.000;2;1;292.066.967;57.538.646
2011-03-01 00:00:00.000;10;1;234.058.669;74.577.884
2011-03-01 00:00:00.000;10;8;4.717.183;1.663.022
2011-03-01 00:00:00.000;10;3;1.103.386;203.097
2011-03-01 00:00:00.000;4;11;5.019.295;4.172.026
2011-03-01 00:00:00.000;4;1;61.137.988;12.731.381
2011-03-01 00:00:00.000;13;3;-0.0206;0
2011-03-01 00:00:00.000;17;3;24.231;0.644900000000003
2011-03-01 00:00:00.000;8;1;12.951.567;46.431.679
2011-03-01 00:00:00.000;8;8;6.747.305;1.933.576
2011-03-01 00:00:00.000;3;1;13.898.913;926.284.000.000.001
2011-03-01 00:00:00.000;17;1;22.365.193;13.629.825
2011-03-01 00:00:00.000;13;1;703.638;201.738
2011-03-01 00:00:00.000;11;1;7.655.535;881.877
2011-03-01 00:00:00.000;11;8;1.034.492;0
2011-03-01 00:00:00.000;11;3;1.309.974;718.656
2011-03-01 00:00:00.000;12;3;6.562.633;3.288.285
2011-03-01 00:00:00.000;8;3;2.721.192;1.354.647
2011-03-01 00:00:00.000;12;1;31.420.197;4.971.649
2011-03-01 00:00:00.000;19;4;2.284.305;760.705
2011-03-01 00:00:00.000;19;7;2.413.165;48.15
2011-03-01 00:00:00.000;16;1;2.828.923;165.557
2011-03-01 00:00:00.000;9;1;16.530.952;5.653.576
2011-03-01 00:00:00.000;6;1;371.832;40.343
2011-03-01 00:00:00.000;5;1;282.861;694.125
2011-03-01 00:00:00.000;4;4;1.459.632;438.096
2011-03-01 00:00:00.000;4;7;13.702.369;2.721.156
2011-03-01 00:00:00.000;19;11;973.182;880.476
2011-03-01 00:00:00.000;18;1;83.302;62.045
2011-03-01 00:00:00.000;18;3;22.851;319.515
2011-03-01 00:00:00.000;19;1;132.934.569;29.821.278
2011-04-01 00:00:00.000;2;1;37.623.197;84.165.003
2011-04-01 00:00:00.000;10;1;324.606.792;90.548.123
2011-04-01 00:00:00.000;10;8;7.204.165;2.486.982
2011-04-01 00:00:00.000;4;11;10.051.393;5.032.098
2011-04-01 00:00:00.000;4;7;17.274.699;357.233
